3Thread_file_path,3Thread_sorting_clause,3Thread_time,3Thread_k,3Thread_solver,3Thread_neg_state,3Thread_status,3Thread_frame_sizes,3Thread_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1.lus,l2l1,0.191,2,12,0,safe,0,0.782
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1_e4_23904_e4_2384.lus,l1l2,0.32,2,12,0,safe,0,0.852
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2.lus,base,0.087,3,89,1,safe,1 0,0.445
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e1_17214_e5_18600.lus,l1l2,0.1,3,89,1,safe,1 0,0.488
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e3_514_e4_11150.lus,base,0.084,3,89,1,safe,1 0,0.461
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e6_3003_e4_15091.lus,l2l1,0.107,3,89,1,safe,1 0,0.462
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e7_12307.lus,l1l2,0.096,3,89,1,safe,1 0,0.477
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e8_21449_e5_18210.lus,l1l2,0.155,3,172,2,safe,2 0,0.514
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1.lus,base,0.053,2,25,1,safe,1,0.42
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e1_268_e7_501.lus,l1l2,0.062,2,25,1,safe,1,0.45
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370.lus,base,0.086,2,41,2,safe,2,0.473
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_3184_e7_1888.lus,l2l1,0.07,2,25,1,safe,1,0.448
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_5070.lus,base,0.055,2,27,1,safe,1,0.434
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e2_1997.lus,l1l2,0.062,2,25,1,safe,1,0.432
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e2_1997_e7_3613_e2_3409.lus,l1l2,0.055,2,25,1,safe,1,0.438
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e3_11891_e7_4569_e4_4881.lus,l1l2,0.058,2,25,1,safe,1,0.444
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10.lus,l2l1,0.091,2,39,2,safe,2,0.445
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e1_3587_e3_2749.lus,l1l2,0.084,2,39,2,safe,2,0.457
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e1_3587_e7_872.lus,l2l1,0.023,0,2,0,unsafe,Not Found,0.416
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e1_998.lus,base,0.081,2,39,2,safe,2,0.449
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e2_2785_e3_1744.lus,base,0.08,2,39,2,safe,2,0.46
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e2_402.lus,base,0.083,2,39,2,safe,2,0.444
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e3_144_e5_2046.lus,l1l2,0.081,2,39,2,safe,2,0.447
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e3_144_e7_523.lus,l2l1,0.02,0,2,0,unsafe,Not Found,0.39
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e3_3429.lus,l1l2,0.097,2,39,2,safe,2,0.444
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e7_3861_e2_1020.lus,l1l2,0.02,0,2,0,unsafe,Not Found,0.392
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e7_3861_e7_2180.lus,l2l1,0.021,0,2,0,unsafe,Not Found,0.4
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11.lus,base,148.311,4,23652,71,timeout,98 84 52 27,290.264
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450.lus,base,250.655,4,34974,104,timeout,157 124 81 39,290.302
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e1_5887.lus,base,26.031,3,8628,40,timeout,69 52 27,290.25
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e2_1483.lus,base,2.6,2,1315,15,timeout,24 13,290.264
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e3_2330.lus,base,111.851,4,21870,66,timeout,103 84 50 27,290.248
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e7_5791.lus,l2l1,0.023,0,2,0,unsafe,Not Found,0.397
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e2_1678_e1_3565.lus,base,206.611,4,26504,78,timeout,84 67 49 27,290.244
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e2_5396_e3_282.lus,base,115.988,3,16880,54,timeout,96 88 44,290.247
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e3_382_e1_505.lus,base,28.162,3,8061,42,timeout,73 62 32,290.256
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e3_382_e4_4421.lus,base,1.729,2,980,15,timeout,22 12,290.278
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12.lus,base,2.009,5,1343,15,safe,9 7 6 4,2.507
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e1_4640_e7_128.lus,base,0.024,0,2,0,unsafe,Not Found,0.395
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618.lus,base,2.162,5,1436,14,safe,9 7 5 3,2.545
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e1_6030.lus,l2l1,3.638,5,2124,24,safe,20 18 17 14 7,4.014
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e2_138.lus,base,1.496,5,1061,9,safe,8 6 5 3,1.903
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e3_2012.lus,l1l2,2.539,5,1590,17,safe,12 10 8 5 2,2.87
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_12_e2_1618_e7_4732.lus,base,0.021,0,2,0,unsafe,Not Found,0.4
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13.lus,l1l2,11.816,4,5104,39,safe,43 38 26 16,15.714
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e3_1418_e3_2761.lus,l2l1,7.489,5,3851,29,safe,33 28 19 9,7.783
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e7_2336.lus,l2l1,0.021,0,2,0,unsafe,Not Found,0.417
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e7_2336_e1_541.lus,l1l2,0.022,0,2,0,unsafe,Not Found,0.409
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e7_2336_e2_1255.lus,l2l1,0.022,0,2,0,unsafe,Not Found,0.411
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e7_2336_e3_3117.lus,l1l2,0.021,0,2,0,unsafe,Not Found,0.405
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_13_e7_2336_e7_685.lus,l2l1,0.025,0,2,0,unsafe,Not Found,0.396
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14.lus,base,203.995,9,34338,120,timeout,86 81 73 70 67 64 62 60 51,290.262
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e1_5710.lus,base,259.289,11,34975,90,timeout,95 88 83 81 79 77 74 68 57 41 23,290.239
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e2_3606.lus,base,228.263,10,31530,85,timeout,81 77 70 66 63 59 55 43 30 14,290.264
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e3_1259_e1_5798.lus,base,272.919,12,36092,98,timeout,77 71 67 65 62 61 59 57 55 49 41 32,290.228
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e3_5120.lus,base,260.952,12,35957,90,timeout,64 59 51 47 45 40 37 35 33 29 25 21,290.237
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162.lus,l2l1,0.818,2,393,13,unsafe,15 9,1.168
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e1_3998.lus,l1l2,0.583,2,284,9,unsafe,10 5,0.952
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e2_753.lus,base,0.587,2,235,10,unsafe,10 6,0.992
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e3_4298.lus,base,0.467,2,197,10,unsafe,8 4,0.857
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_14_e7_3162_e7_3528.lus,l1l2,0.683,2,382,13,unsafe,15 10,1.023
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2.lus,l2l1,0.057,2,22,1,safe,1,0.423
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e1_2316.lus,l1l2,0.064,2,20,1,safe,1,0.436
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e1_2644.lus,l1l2,0.061,2,22,1,safe,1,0.423
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e2_3580.lus,l2l1,0.06,2,22,1,safe,1,0.437
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e2_3183_e3_5972.lus,l2l1,0.064,2,22,1,safe,1,0.433
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e2_4481.lus,l2l1,0.064,2,20,1,safe,1,0.45
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e7_25.lus,l2l1,0.026,0,2,0,unsafe,Not Found,0.412
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e7_25_e1_154.lus,base,0.022,0,2,0,unsafe,Not Found,0.4
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e7_25_e2_5340.lus,base,0.024,0,2,0,unsafe,Not Found,0.398
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e7_25_e3_829.lus,base,0.023,0,2,0,unsafe,Not Found,0.405
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e7_25_e7_4469.lus,l2l1,0.025,0,2,0,unsafe,Not Found,0.398
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_2_e7_25_e8_3171.lus,l1l2,0.065,2,22,1,safe,1,0.431
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3.lus,base,0.064,2,27,1,safe,1,0.456
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e1_4783.lus,l2l1,0.077,2,27,1,safe,1,0.448
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e1_3755.lus,l2l1,0.072,2,27,1,safe,1,0.45
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e2_158.lus,base,0.065,2,27,1,safe,1,0.452
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e3_511.lus,base,0.066,2,27,1,safe,1,0.45
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e1_4783_e7_4070.lus,base,0.021,0,2,0,unsafe,Not Found,0.416
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e2_5343_e1_988.lus,l1l2,0.077,2,27,1,safe,1,0.451
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e3_3846.lus,base,0.068,2,27,1,safe,1,0.448
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e1_2288.lus,l2l1,0.078,2,27,1,safe,1,0.446
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e3_5422_e2_3135.lus,base,0.059,2,27,1,safe,1,0.443
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_3_e7_4884.lus,l1l2,0.023,0,2,0,unsafe,Not Found,0.397
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4.lus,base,4.069,5,2719,20,safe,29 24 16 7,4.73
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e1_4312.lus,l2l1,4.299,5,2630,27,safe,26 21 16 8,4.883
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799.lus,l1l2,9.178,6,4993,32,safe,50 45 38 27 13,9.488
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e1_1303.lus,l1l2,5.601,5,3541,28,safe,40 35 26 13,5.893
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e2_2251.lus,l2l1,5.146,5,3251,28,safe,36 31 23 12,5.789
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e3_1915.lus,base,4.859,5,3096,26,safe,34 29 21 11,5.448
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e7_2499.lus,base,0.129,1,29,3,unsafe,1,0.506
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e3_1540_e1_5048.lus,base,4.444,5,2944,27,safe,25 20 14 8,5.063
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e3_4133.lus,base,4.593,5,2869,26,safe,33 28 20 11,5.231
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e7_2329.lus,l1l2,0.224,1,54,5,unsafe,3,0.592
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e7_2329_e3_4574.lus,l1l2,0.275,1,102,7,unsafe,6,0.659
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e7_2329_e7_3856.lus,l1l2,0.188,1,62,5,unsafe,4,0.535
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5.lus,base,0.486,4,385,7,safe,9 7 4,0.865
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e1_1835.lus,l2l1,0.574,3,397,8,safe,10 8 4,0.908
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e2_3018_e2_936.lus,l1l2,0.606,4,482,8,safe,11 8 5,0.984
