Base_file_path,Base_time,Base_k,Base_solver,Base_neg_state,Base_status,Base_frame_sizes,Base_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave35.lus,208.607,2,408,15,unsafe,0,209.013
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave36.lus,17.499,2,650,21,unsafe,0,17.926
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave37.lus,Not Found,Not Found,Not Found,Not Found,timeout,Not Found,290.114
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave38.lus,53.153,1,231,14,timeout,14,290.114
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave39.lus,13.882,2,577,20,unsafe,0,14.321
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/microwave40.lus,0.04,2,13,0,unsafe,0,0.479
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1.lus,0.225,2,12,0,safe,0,0.822
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr1_e4_23904_e4_2384.lus,0.399,2,12,0,safe,0,0.92
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2.lus,0.089,3,89,1,safe,1 0,0.467
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e1_17214_e5_18600.lus,0.101,3,89,1,safe,1 0,0.479
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e3_514_e4_11150.lus,0.078,3,89,1,safe,1 0,0.443
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e6_3003_e4_15091.lus,0.093,3,89,1,safe,1 0,0.45
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e7_12307.lus,0.101,3,89,1,safe,1 0,0.476
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/large/steam_boiler_no_arr2_e8_21449_e5_18210.lus,0.174,3,172,2,safe,2 0,0.55
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1.lus,0.052,2,25,1,safe,1,0.421
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e1_268_e7_501.lus,0.057,2,25,1,safe,1,0.435
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_14612_e2_2653_e7_4370.lus,0.093,2,41,2,safe,2,0.48
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_3184_e7_1888.lus,0.061,2,25,1,safe,1,0.428
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e1_5070.lus,0.06,2,27,1,safe,1,0.437
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e2_1997.lus,0.054,2,25,1,safe,1,0.425
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e2_1997_e7_3613_e2_3409.lus,0.056,2,25,1,safe,1,0.415
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_1_e3_11891_e7_4569_e4_4881.lus,0.057,2,25,1,safe,1,0.423
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10.lus,0.097,2,39,2,safe,2,0.48
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e1_3587_e3_2749.lus,0.099,2,39,2,safe,2,0.481
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e1_3587_e7_872.lus,0.022,0,2,0,unsafe,Not Found,0.406
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e1_998.lus,0.099,2,39,2,safe,2,0.463
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e2_2785_e3_1744.lus,0.098,2,39,2,safe,2,0.48
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e2_402.lus,0.101,2,39,2,safe,2,0.479
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e3_144_e5_2046.lus,0.103,2,39,2,safe,2,0.48
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e3_144_e7_523.lus,0.023,0,2,0,unsafe,Not Found,0.406
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e3_3429.lus,0.102,2,39,2,safe,2,0.482
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e7_3861_e2_1020.lus,0.02,0,2,0,unsafe,Not Found,0.408
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_10_e7_3861_e7_2180.lus,0.024,0,2,0,unsafe,Not Found,0.405
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11.lus,81.569,4,19845,70,timeout,116 95 76 41,290.149
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450.lus,24.648,2,7513,42,timeout,70 38,290.148
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e1_5887.lus,289.92,4,41415,116,timeout,177 154 117 63,290.158
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e2_1483.lus,110.152,4,22212,75,timeout,104 83 53 23,290.153
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e3_2330.lus,59.634,3,15313,59,timeout,101 75 34,290.157
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_11_e1_2450_e7_5791.lus,0.023,0,2,0,unsafe,Not Found,0.389
