Reuse&Unsatcore_file_path,Reuse&Unsatcore_time,Reuse&Unsatcore_k,Reuse&Unsatcore_solver,Reuse&Unsatcore_neg_state,Reuse&Unsatcore_num_s,Reuse&Unsatcore_num_t,Reuse&Unsatcore_num_gen,Reuse&Unsatcore_status,Reuse&Unsatcore_frame_sizes,Reuse&Unsatcore_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3_e2_819_e1_1145.lus,1.265,5,749,14,0,0,Not Found,safe,7 3 2 1,1.619
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3_e2_819_e4_1595.lus,1.234,5,749,14,0,0,Not Found,safe,7 3 2 1,1.575
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_i4_e6_2175.lus,0.722,5,826,15,2,3,Not Found,safe,16 14 10 6,1.063
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_i4_e7_1017_e6_1132.lus,0.785,5,782,15,2,3,Not Found,safe,16 14 10 6,1.127
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters.lus,6.621,9,4704,37,5,4,Not Found,unsafe,37 35 30 26 23 20 15 11 6,6.97
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters_e3_140_e8_149.lus,0.487,4,645,11,1,1,Not Found,timeout,11 9 7 4,290.24
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters_e8_371_e3_224.lus,0.461,4,645,11,1,1,Not Found,timeout,11 9 7 4,290.281
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters_e8_371_e7_304.lus,1.379,4,1093,16,1,0,Not Found,unsafe,17 14 11 8,1.722
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/twisted_counters.lus,7.317,9,4714,36,3,11,Not Found,safe,48 46 41 38 36 32 24 15,7.664
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/two_counters.lus,1.198,6,1628,19,3,5,Not Found,safe,28 26 21 17 10,1.549
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/rtp_vt.lus,138.591,9,21559,105,8,11,Not Found,safe,127 126 124 121 116 113 89 46,139.019
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_1.lus,1.307,4,673,13,2,0,Not Found,unsafe,9 7 4 1,1.678
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_6_e7_10_e7_341.lus,0.713,4,431,12,1,1,Not Found,unsafe,9 7 4 1,1.076
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_6_e7_399.lus,0.909,4,466,16,1,0,Not Found,unsafe,13 10 6 2,1.265
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_8.lus,0.273,2,127,9,1,0,Not Found,unsafe,6 2,0.631
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/swimmingpool_9.lus,0.438,2,162,12,1,0,Not Found,unsafe,9 1,0.809
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5.lus,39.23,12,10156,71,2,11,Not Found,safe,41 39 37 35 34 33 30 26 21 15 8,39.577
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e2_405_e2_1083.lus,0.26,2,135,10,0,0,Not Found,unsafe,8 1,0.604
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e2_405_e3_473.lus,0.287,2,135,10,0,0,Not Found,unsafe,8 1,0.644
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e2_405_e8_1055.lus,0.283,2,135,10,0,0,Not Found,unsafe,8 1,0.623
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e3_11_e1_429.lus,0.286,2,135,10,0,0,Not Found,unsafe,8 1,0.639
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e3_11_e5_24.lus,0.326,2,135,10,0,0,Not Found,unsafe,8 1,0.663
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e3_661.lus,0.32,2,135,10,0,0,Not Found,unsafe,8 1,0.664
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244.lus,95.411,14,17053,107,3,17,Not Found,safe,33 31 29 27 25 23 21 19 17 15 14 9 5,95.79
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e1_823.lus,12.553,11,5705,39,2,1,Not Found,safe,25 24 22 20 18 17 15 14 10 6,12.895
