Reuse_file_path,Reuse_time,Reuse_k,Reuse_solver,Reuse_neg_state,Reuse_num_s,Reuse_num_t,Reuse_num_gen,Reuse_status,Reuse_frame_sizes,Reuse_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4.lus,10.753,5,5087,26,7,0,Not Found,safe,33 27 16 5,11.137
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e1_4312.lus,9.05,5,4675,27,7,2,Not Found,safe,44 39 30 12,9.445
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799.lus,18.646,7,7959,25,8,1,Not Found,safe,36 30 23 20 13 5,19.057
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e1_1303.lus,7.708,5,4402,27,6,3,Not Found,safe,44 37 26 13,8.101
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e2_2251.lus,5.792,5,3443,25,8,2,Not Found,safe,40 35 24 12,6.185
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e2_2799_e3_1915.lus,11.156,6,5566,24,8,0,Not Found,safe,16 11 5 2 0,11.543
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e3_1540_e1_5048.lus,7.463,5,3998,26,8,2,Not Found,safe,40 35 28 12,7.858
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_4_e3_4133.lus,3.614,4,2265,19,6,0,Not Found,safe,29 24 9,4.014
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5.lus,0.638,4,455,8,1,0,Not Found,safe,11 9 5,1.031
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e1_1835.lus,0.683,4,520,7,1,0,Not Found,safe,10 8 5,1.061
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_5_e2_3018_e2_936.lus,0.593,4,427,8,1,0,Not Found,safe,11 9 5,0.974
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_8.lus,1.664,5,1129,16,3,1,Not Found,safe,17 16 7 4,2.029
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_8_e3_786_e7_4541.lus,7.939,6,3055,24,3,2,Not Found,safe,24 23 22 9 5,8.33
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_8_e7_3752.lus,0.182,2,100,4,1,0,Not Found,timeout,5 3,290.139
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2.lus,3.594,4,1635,23,3,0,Not Found,safe,18 14 8,3.989
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e1_6463.lus,5.693,5,2731,24,4,0,Not Found,safe,8 3 1 0,6.108
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e2_5774.lus,5.239,5,2532,23,4,0,Not Found,safe,8 4 1 0,5.635
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e3_1543.lus,3.498,5,1870,20,3,0,Not Found,safe,6 2 1 0,3.889
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e4_3719.lus,5.459,4,2259,25,3,0,Not Found,safe,22 16 10,5.867
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/DRAGON_all2_e3_4612_e5_3642.lus,6.207,5,2775,26,3,0,Not Found,safe,7 2 1 0,6.605
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_11_e1_3457.lus,0.536,5,559,5,1,0,Not Found,timeout,8 7 6 4 2,290.139
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e1_2375.lus,0.518,2,333,8,1,0,Not Found,unsafe,8 4,0.899
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_4_e3_3511_e4_1464.lus,1.773,2,935,11,1,0,Not Found,unsafe,14 6,2.15
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_6_e2_3302.lus,1.655,5,1677,12,2,3,Not Found,safe,22 18 13 7,2.041
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_7.lus,36.187,6,12173,34,4,3,Not Found,safe,35 25 21 12 4,36.551
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e1_1979.lus,0.225,2,113,7,1,0,Not Found,unsafe,3 2,0.601
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e4_897.lus,0.229,2,113,7,1,0,Not Found,unsafe,3 2,0.592
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_1a_e7_3042_e3_1213.lus,0.837,4,684,7,1,0,Not Found,timeout,10 9 8 7,290.131
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_2_e2_1375_e1_418.lus,0.486,4,557,7,2,0,Not Found,safe,10 8 5,0.851
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_2_e7_1826_e8_126.lus,0.517,4,555,7,2,0,Not Found,safe,10 8 5,0.88
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_3.lus,5.929,6,3464,26,1,1,Not Found,safe,39 35 28 21 10,6.314
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_3_e1_2217_e3_1200.lus,7.848,7,4509,29,4,2,Not Found,safe,43 40 37 32 24 11,8.212
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_rt.lus,0.738,4,752,10,2,0,Not Found,safe,11 9 5,1.09
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_rt_e3_1770_e2_637.lus,0.786,4,798,11,2,0,Not Found,safe,11 9 5,1.138
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_u1.lus,1.56,6,1331,10,2,0,Not Found,safe,12 10 9 8 7,1.928
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_u1_e2_3403_e2_957.lus,1.416,4,1232,13,2,1,Not Found,safe,19 15 9,1.783
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/ILLINOIS_a1.lus,0.47,4,455,9,3,0,Not Found,safe,9 7 4,0.85
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/ILLINOIS_r4a.lus,0.799,4,792,11,3,0,Not Found,safe,15 12 6,1.157
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3.lus,1.06,4,788,13,0,0,Not Found,safe,7 3 2,1.415
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3_e1_2517_e8_2163.lus,0.79,4,645,13,0,0,Not Found,safe,11 8 7,1.133
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3_e2_819_e1_1145.lus,1.082,4,788,13,0,0,Not Found,safe,7 3 2,1.429
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3_e2_819_e4_1595.lus,1.065,4,788,13,0,0,Not Found,safe,7 3 2,1.425
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_i4_e6_2175.lus,0.853,5,1078,15,2,3,Not Found,safe,16 14 10 6,1.207
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_i4_e7_1017_e6_1132.lus,3.135,7,2906,20,2,1,Not Found,safe,9 7 4 2 1 0,3.48
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters.lus,15.156,9,9754,40,4,12,Not Found,unsafe,49 46 42 40 33 31 24 19 11,15.506
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters_e3_140_e8_149.lus,0.631,4,940,11,1,1,Not Found,timeout,11 9 7 4,290.151
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters_e8_371_e3_224.lus,0.66,4,940,11,1,1,Not Found,timeout,11 9 7 4,290.158
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters_e8_371_e7_304.lus,2.195,4,1821,16,1,0,Not Found,unsafe,18 15 12 9,2.539
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/twisted_counters.lus,7.925,8,6831,31,3,5,Not Found,safe,48 46 41 38 33 25 12,8.273
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/two_counters.lus,1.95,6,2708,21,3,6,Not Found,safe,33 31 25 19 11,2.294
