Unsatcore_file_path,Unsatcore_time,Unsatcore_k,Unsatcore_solver,Unsatcore_neg_state,Unsatcore_status,Unsatcore_frame_sizes,Unsatcore_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_a3_e3_314_e4_897.lus,0.467,2,223,10,unsafe,7 3,0.837
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_1a_e7_3042_e3_1213.lus,234.672,6,14181,60,timeout,65 64 63 62 61 60,290.183
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_2_e2_1375_e1_418.lus,0.493,4,477,7,safe,9 7 4,0.851
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_2_e7_1826_e8_126.lus,0.496,4,485,7,safe,10 8 5,0.851
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_3.lus,5.39,6,2879,27,safe,40 35 26 18 8,5.779
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_luke_3_e1_2217_e3_1200.lus,4.444,7,2839,17,safe,22 19 16 15 13 12,4.825
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_rt.lus,0.602,4,573,10,safe,10 8 4,0.954
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_rt_e3_1770_e2_637.lus,0.686,4,620,11,safe,11 9 5,1.036
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_u1.lus,2.49,7,1846,10,safe,6 4 3 2 1 0,2.865
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory1/FIREFLY_u1_e2_3403_e2_957.lus,16.093,7,5567,24,safe,44 39 35 32 25 6,16.475
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/ILLINOIS_a1.lus,0.561,4,458,10,safe,9 7 4,0.938
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/ILLINOIS_r4a.lus,1.126,4,920,15,safe,21 17 8,1.495
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3.lus,1.211,5,840,15,safe,8 4 3 2,1.566
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3_e1_2517_e8_2163.lus,2.08,7,1440,16,safe,9 6 5 4 2 1,2.427
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3_e2_819_e1_1145.lus,1.2,5,840,15,safe,8 4 3 2,1.552
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_3_e2_819_e4_1595.lus,1.226,5,840,15,safe,8 4 3 2,1.577
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_i4_e6_2175.lus,0.765,5,861,15,safe,16 14 10 6,1.108
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/memory2/MESI_i4_e7_1017_e6_1132.lus,1.263,5,1173,17,safe,9 7 4 3,1.617
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters.lus,9.568,9,5708,40,unsafe,40 37 33 29 26 23 17 14 10,9.916
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters_e3_140_e8_149.lus,0.484,4,672,12,timeout,11 9 7 4,290.239
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters_e8_371_e3_224.lus,0.5,4,672,12,timeout,11 9 7 4,290.305
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/_6counters_e8_371_e7_304.lus,1.465,4,1144,16,unsafe,17 14 11 8,1.818
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/twisted_counters.lus,9.516,9,5711,47,safe,61 59 54 51 50 45 35 20,9.886
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/misc/two_counters.lus,1.077,6,1411,20,safe,25 23 19 16 10,1.428
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/protocol/rtp_vt.lus,64.563,8,12757,72,safe,81 80 78 75 71 68 43,64.957
